2015-01-29 09:48:52,562 site:INFO start
2015-01-29 09:49:23,233 site:INFO home page
2015-01-29 09:49:23,233 site:INFO 0
2015-01-29 09:49:37,454 site:INFO home page
2015-01-29 09:49:37,456 site:INFO 0
2015-01-29 09:49:47,940 site:INFO home page
2015-01-29 09:49:47,940 site:INFO 0
2015-01-29 09:50:10,697 site:INFO home page
2015-01-29 09:50:10,698 site:INFO 0
2015-01-29 10:10:59,092 site:INFO home page
2015-01-29 10:10:59,095 site:INFO 0
2015-01-29 10:11:28,801 site:INFO home page
2015-01-29 10:11:28,805 site:INFO 0
2015-01-29 10:11:34,039 site:INFO home page
2015-01-29 10:11:34,039 site:INFO 0
2015-01-29 10:11:40,296 site:INFO home page
2015-01-29 10:11:40,298 site:INFO 0
2015-01-29 10:11:45,776 site:INFO home page
2015-01-29 10:11:45,776 site:INFO 0
2015-01-29 10:11:53,453 site:INFO home page
2015-01-29 10:11:53,453 site:INFO 0
2015-01-29 10:12:09,822 site:INFO home page
2015-01-29 10:12:09,825 site:INFO 0
2015-01-29 10:12:16,101 site:INFO home page
2015-01-29 10:12:16,102 site:INFO 0
2015-01-29 10:12:21,973 site:INFO home page
2015-01-29 10:12:21,976 site:INFO 0
2015-01-29 10:12:27,230 site:INFO home page
2015-01-29 10:12:27,232 site:INFO 0
2015-01-29 10:12:44,676 site:INFO home page
2015-01-29 10:12:44,676 site:INFO 0
2015-01-29 10:19:55,091 site:INFO start
2015-01-29 10:22:01,614 site:INFO start
2015-01-29 10:22:34,451 site:INFO start
2015-01-29 10:48:06,865 site:INFO home page
2015-01-29 10:48:06,868 site:INFO 0
2015-01-29 10:48:16,263 site:INFO home page
2015-01-29 10:48:16,279 site:INFO 0
2015-01-29 11:18:41,276 site:INFO home page
2015-01-29 11:18:41,276 site:INFO 0
2015-01-29 11:18:46,559 site:INFO home page
2015-01-29 11:18:46,575 site:INFO 0
2015-01-29 11:19:01,086 site:INFO home page
2015-01-29 11:19:01,088 site:INFO 0
2015-01-29 11:19:06,792 site:INFO home page
2015-01-29 11:19:06,793 site:INFO 0
2015-01-29 11:19:17,242 site:INFO home page
2015-01-29 11:19:17,242 site:INFO 0
2015-01-29 14:39:36,315 site:INFO start
2015-01-29 14:39:45,710 site:INFO home page
2015-01-29 14:39:45,710 site:INFO 0
2015-01-29 14:40:00,148 site:INFO home page
2015-01-29 14:40:00,148 site:INFO 0
2015-01-29 14:40:04,112 site:INFO home page
2015-01-29 14:40:04,112 site:INFO 0
2015-01-29 14:40:06,375 site:INFO home page
2015-01-29 14:40:06,375 site:INFO 0
2015-01-29 14:46:21,865 site:INFO home page
2015-01-29 14:46:21,865 site:INFO 0
2015-01-29 15:31:40,632 site:INFO home page
2015-01-29 15:31:40,632 site:INFO 0
2015-01-29 17:15:40,421 site:INFO home page
2015-01-29 17:15:40,421 site:INFO 0
2015-01-29 17:30:48,540 site:INFO home page
2015-01-29 17:30:48,540 site:INFO 0
2015-01-29 17:31:15,052 site:INFO home page
2015-01-29 17:31:15,052 site:INFO 0
2015-01-29 17:32:01,421 site:INFO home page
2015-01-29 17:32:01,421 site:INFO 0
2015-01-29 19:05:55,684 site:INFO start
2015-01-29 19:05:56,970 site:INFO home page
2015-01-29 19:05:56,973 site:INFO 0
2015-01-29 19:57:29,345 site:INFO home page
2015-01-29 19:57:29,345 site:INFO 0
2015-01-29 19:57:48,779 site:INFO home page
2015-01-29 19:57:48,779 site:INFO 1
2015-01-29 19:58:49,499 site:INFO start
2015-01-29 19:59:15,321 site:INFO start
2015-01-29 20:03:15,618 site:INFO start
2015-01-29 20:06:22,443 site:INFO start
2015-01-29 20:06:50,243 site:INFO start
2015-01-29 20:10:29,016 site:INFO start
2015-01-29 20:11:00,785 site:INFO start
2015-01-29 20:11:44,490 site:INFO start
2015-01-29 20:13:14,325 site:INFO start
2015-01-29 20:14:10,157 site:INFO start
2015-01-29 20:16:17,923 site:INFO start
2015-01-29 20:16:45,806 site:INFO start
2015-01-29 20:17:43,071 site:INFO start
2015-01-29 20:19:26,915 site:INFO start
2015-01-29 20:23:00,759 site:INFO start
2015-01-29 20:26:54,878 site:INFO home page
2015-01-29 20:26:54,878 site:INFO 0
2015-01-29 20:29:26,575 site:INFO start
2015-01-29 20:32:17,391 site:INFO start
2015-01-29 20:36:04,716 site:INFO start
2015-01-29 20:51:27,596 site:INFO start
2015-01-29 20:51:39,036 site:INFO home page
2015-01-29 20:51:39,038 site:INFO 1
2015-01-29 20:53:59,434 site:INFO start
2015-01-29 20:54:56,263 site:INFO start
2015-01-29 21:14:17,354 site:INFO home page
2015-01-29 21:14:17,355 site:INFO 0
